Hourly measurement data supplied by AEA Energy and Environment on 20/7/2010
All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Nottingham Centre,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit

01-01-2009,01:00,,,,,,,,,,,,
01-01-2009,02:00,84,R,ugm-3,65,R,ugm-3,6,R,ugm-3,32,R,ugm-3
01-01-2009,03:00,71,R,ugm-3,65,R,ugm-3,2,R,ugm-3,29,R,ugm-3
01-01-2009,04:00,84,R,ugm-3,63,R,ugm-3,2,R,ugm-3,27,R,ugm-3
01-01-2009,05:00,69,R,ugm-3,63,R,ugm-3,2,R,ugm-3,21,R,ugm-3
01-01-2009,06:00,43,R,ugm-3,59,R,ugm-3,4,R,ugm-3,19,R,ugm-3
01-01-2009,07:00,39,R,ugm-3,53,R,ugm-3,4,R,ugm-3,19,R,ugm-3
01-01-2009,08:00,60,R,ugm-3,53,R,ugm-3,4,R,ugm-3,19,R,ugm-3
01-01-2009,09:00,45,R,ugm-3,52,R,ugm-3,4,R,ugm-3,16,R,ugm-3
01-01-2009,10:00,34,R,ugm-3,46,R,ugm-3,6,R,ugm-3,16,R,ugm-3
01-01-2009,11:00,25,R,ugm-3,42,R,ugm-3,8,R,ugm-3,13,R,ugm-3
01-01-2009,12:00,25,R,ugm-3,40,R,ugm-3,6,R,ugm-3,11,R,ugm-3
01-01-2009,13:00,29,R,ugm-3,42,R,ugm-3,8,R,ugm-3,11,R,ugm-3
01-01-2009,14:00,34,R,ugm-3,44,R,ugm-3,8,R,ugm-3,13,R,ugm-3
01-01-2009,15:00,35,R,ugm-3,44,R,ugm-3,6,R,ugm-3,13,R,ugm-3
01-01-2009,16:00,33,R,ugm-3,44,R,ugm-3,6,R,ugm-3,13,R,ugm-3
01-01-2009,17:00,59,R,ugm-3,46,R,ugm-3,6,R,ugm-3,11,R,ugm-3
01-01-2009,18:00,54,R,ugm-3,48,R,ugm-3,6,R,ugm-3,13,R,ugm-3
01-01-2009,19:00,38,R,ugm-3,48,R,ugm-3,6,R,ugm-3,19,R,ugm-3
01-01-2009,20:00,30,R,ugm-3,48,R,ugm-3,6,R,ugm-3,16,R,ugm-3
01-01-2009,21:00,30,R,ugm-3,50,R,ugm-3,4,R,ugm-3,16,R,ugm-3
01-01-2009,22:00,21,R,ugm-3,50,R,ugm-3,2,R,ugm-3,16,R,ugm-3
01-01-2009,23:00,16,R,ugm-3,46,R,ugm-3,2,R,ugm-3,13,R,ugm-3
