 
  #Derivative approximations: forward difference formula
  #Section 7.1, Kincaid-Cheney
 
  #k        h              F2             F1             d              r
   0   0.100000E+01   0.117810E+01   0.955317E+00   0.222781E+00   0.222781E+00
   1   0.500000E+00   0.108938E+01   0.955317E+00   0.134067E+00   0.268134E+00
   2   0.250000E+00   0.102973E+01   0.955317E+00   0.744102E-01   0.297641E+00
   3   0.125000E+00   0.994644E+00   0.955317E+00   0.393278E-01   0.314622E+00
   4   0.625000E-01   0.975551E+00   0.955317E+00   0.202343E-01   0.323749E+00
   5   0.312500E-01   0.965582E+00   0.955317E+00   0.102651E-01   0.328483E+00
   6   0.156250E-01   0.960487E+00   0.955317E+00   0.517020E-02   0.330893E+00
   7   0.781250E-02   0.957911E+00   0.955317E+00   0.259461E-02   0.332109E+00
   8   0.390625E-02   0.956616E+00   0.955317E+00   0.129969E-02   0.332720E+00
   9   0.195312E-02   0.955967E+00   0.955317E+00   0.650443E-03   0.333027E+00
  10   0.976562E-03   0.955642E+00   0.955317E+00   0.325371E-03   0.333180E+00
  11   0.488281E-03   0.955479E+00   0.955317E+00   0.162723E-03   0.333257E+00
  12   0.244141E-03   0.955398E+00   0.955317E+00   0.813708E-04   0.333295E+00
  13   0.122070E-03   0.955357E+00   0.955317E+00   0.406878E-04   0.333314E+00
  14   0.610352E-04   0.955337E+00   0.955317E+00   0.203445E-04   0.333324E+00
  15   0.305176E-04   0.955327E+00   0.955317E+00   0.101724E-04   0.333329E+00
  16   0.152588E-04   0.955322E+00   0.955317E+00   0.508623E-05   0.333331E+00
  17   0.762939E-05   0.955319E+00   0.955317E+00   0.254312E-05   0.333332E+00
  18   0.381470E-05   0.955318E+00   0.955317E+00   0.127156E-05   0.333333E+00
  19   0.190735E-05   0.955317E+00   0.955317E+00   0.635782E-06   0.333333E+00
  20   0.953674E-06   0.955317E+00   0.955317E+00   0.317891E-06   0.333333E+00
