#gauss point       1st       2nd       3rd     total
           1      1.12      0.13      0.13      0.02
           2      1.28      0.13      0.13      0.02
           3      1.35      0.13      0.13      0.02
           4      1.39      0.13      0.13      0.02
           5      1.41      0.13      0.13      0.02
           6      1.43      0.13      0.13      0.02
           7      1.44      0.13      0.13      0.02
           8      1.45      0.13      0.13      0.03
           9      1.46      0.13      0.13      0.03
          10      1.47      0.13      0.13      0.03
          11      1.47      0.13      0.13      0.03
          12      1.48      0.13      0.13      0.03
          13      1.48      0.13      0.13      0.03
          14      1.48      0.13      0.13      0.03
          15      1.48      0.13      0.13      0.03
          16      1.49      0.13      0.13      0.03
          17      1.49      0.13      0.13      0.03
          18      1.49      0.13      0.13      0.03
          19      1.49      0.13      0.13      0.03
          20      1.49      0.13      0.13      0.03
          21      1.50      0.13      0.13      0.03
          22      1.50      0.13      0.13      0.03
          23      1.50      0.13      0.13      0.03
          24      1.50      0.13      0.13      0.03
          25      1.50      0.13      0.13      0.03
          26      1.50      0.13      0.13      0.03
          27      1.50      0.13      0.13      0.03
          28      1.50      0.13      0.13      0.03
          29      1.50      0.13      0.13      0.03
          30      1.50      0.13      0.13      0.03
          31      1.50      0.13      0.13      0.03
          32      1.51      0.13      0.13      0.03
          33      1.51      0.13      0.13      0.03
          34      1.51      0.13      0.13      0.03
          35      1.51      0.13      0.13      0.03
          36      1.51      0.13      0.13      0.03
          37      1.51      0.13      0.13      0.03
          38      1.51      0.13      0.13      0.03
          39      1.51      0.13      0.13      0.03
          40      1.51      0.13      0.13      0.03
          41      1.51      0.13      0.13      0.03
          42      1.51      0.13      0.13      0.03
          43      1.51      0.13      0.13      0.03
          44      1.51      0.13      0.13      0.03
          45      1.51      0.13      0.13      0.03
          46      1.51      0.13      0.13      0.03
          47      1.51      0.13      0.13      0.03
          48      1.51      0.13      0.13      0.03
          49      1.51      0.13      0.13      0.03
          50      1.51      0.13      0.13      0.03
          51      1.51      0.13      0.13      0.03
          52      1.51      0.13      0.13      0.03
          53      1.51      0.13      0.13      0.03
          54      1.51      0.13      0.13      0.03
          55      1.51      0.13      0.13      0.03
          56      1.51      0.13      0.13      0.03
          57      1.51      0.13      0.13      0.03
          58      1.51      0.13      0.13      0.03
          59      1.51      0.13      0.13      0.03
          60      1.51      0.13      0.13      0.03
          61      1.51      0.13      0.13      0.03
          62      1.51      0.13      0.13      0.03
          63      1.51      0.13      0.13      0.03
          64      1.51      0.13      0.13      0.03
          65      1.52      0.13      0.13      0.03
          66      1.52      0.13      0.13      0.03
          67      1.52      0.13      0.13      0.03
          68      1.52      0.13      0.13      0.03
          69      1.52      0.13      0.13      0.03
          70      1.52      0.13      0.13      0.03
          71      1.52      0.13      0.13      0.03
          72      1.52      0.13      0.13      0.03
          73      1.52      0.13      0.13      0.03
          74      1.52      0.13      0.13      0.03
          75      1.52      0.13      0.13      0.03
          76      1.52      0.13      0.13      0.03
          77      1.52      0.13      0.13      0.03
          78      1.52      0.13      0.13      0.03
          79      1.52      0.13      0.13      0.03
          80      1.52      0.13      0.13      0.03
          81      1.52      0.13      0.13      0.03
          82      1.52      0.13      0.13      0.03
          83      1.52      0.13      0.13      0.03
          84      1.52      0.13      0.13      0.03
          85      1.52      0.13      0.13      0.03
          86      1.52      0.13      0.13      0.03
          87      1.52      0.13      0.13      0.03
          88      1.52      0.13      0.13      0.03
          89      1.52      0.13      0.13      0.03
          90      1.52      0.13      0.13      0.03
          91      1.52      0.13      0.13      0.03
          92      1.52      0.13      0.13      0.03
          93      1.52      0.13      0.13      0.03
          94      1.52      0.13      0.13      0.03
          95      1.52      0.13      0.13      0.03
          96      1.52      0.13      0.13      0.03
          97      1.52      0.13      0.13      0.03
          98      1.52      0.13      0.13      0.03
          99      1.52      0.13      0.13      0.03
         100      1.52      0.13      0.13      0.03
         101      1.52      0.13      0.13      0.03
         102      1.52      0.13      0.13      0.03
         103      1.52      0.13      0.13      0.03
         104      1.52      0.13      0.13      0.03
         105      1.52      0.13      0.13      0.03
         106      1.52      0.13      0.13      0.03
         107      1.52      0.13      0.13      0.03
         108      1.52      0.13      0.13      0.03
         109      1.52      0.13      0.13      0.03
         110      1.52      0.13      0.13      0.03
         111      1.52      0.13      0.13      0.03
         112      1.52      0.13      0.13      0.03
         113      1.52      0.13      0.13      0.03
         114      1.52      0.13      0.13      0.03
         115      1.52      0.13      0.13      0.03
         116      1.52      0.13      0.13      0.03
         117      1.52      0.13      0.13      0.03
         118      1.52      0.13      0.13      0.03
         119      1.52      0.13      0.13      0.03
         120      1.52      0.13      0.13      0.03
         121      1.52      0.13      0.13      0.03
         122      1.52      0.13      0.13      0.03
         123      1.52      0.13      0.13      0.03
         124      1.52      0.13      0.13      0.03
         125      1.52      0.13      0.13      0.03
         126      1.52      0.13      0.13      0.03
         127      1.52      0.13      0.13      0.03
         128      1.52      0.13      0.13      0.03
         129      1.52      0.13      0.13      0.03
         130      1.52      0.13      0.13      0.03
         131      1.52      0.13      0.13      0.03
         132      1.52      0.13      0.13      0.03
         133      1.52      0.13      0.13      0.03
         134      1.52      0.13      0.13      0.03
         135      1.52      0.13      0.13      0.03
         136      1.52      0.13      0.13      0.03
         137      1.52      0.13      0.13      0.03
         138      1.52      0.13      0.13      0.03
         139      1.52      0.13      0.13      0.03
         140      1.52      0.13      0.13      0.03
         141      1.52      0.13      0.13      0.03
         142      1.52      0.13      0.13      0.03
         143      1.52      0.13      0.13      0.03
         144      1.52      0.13      0.13      0.03
         145      1.52      0.13      0.13      0.03
         146      1.52      0.13      0.13      0.03
         147      1.52      0.13      0.13      0.03
         148      1.52      0.13      0.13      0.03
         149      1.52      0.13      0.13      0.03
         150      1.52      0.13      0.13      0.03
         151      1.52      0.13      0.13      0.03
         152      1.52      0.13      0.13      0.03
         153      1.52      0.13      0.13      0.03
         154      1.52      0.13      0.13      0.03
         155      1.52      0.13      0.13      0.03
         156      1.52      0.13      0.13      0.03
         157      1.52      0.13      0.13      0.03
         158      1.52      0.13      0.13      0.03
         159      1.52      0.13      0.13      0.03
         160      1.52      0.13      0.13      0.03
         161      1.52      0.13      0.13      0.03
         162      1.52      0.13      0.13      0.03
         163      1.52      0.13      0.13      0.03
         164      1.52      0.13      0.13      0.03
         165      1.52      0.13      0.13      0.03
         166      1.52      0.13      0.13      0.03
         167      1.52      0.13      0.13      0.03
         168      1.52      0.13      0.13      0.03
         169      1.52      0.13      0.13      0.03
         170      1.52      0.13      0.13      0.03
         171      1.52      0.13      0.13      0.03
         172      1.52      0.13      0.13      0.03
         173      1.52      0.13      0.13      0.03
         174      1.52      0.13      0.13      0.03
         175      1.52      0.13      0.13      0.03
         176      1.52      0.13      0.13      0.03
         177      1.52      0.13      0.13      0.03
         178      1.52      0.13      0.13      0.03
         179      1.52      0.13      0.13      0.03
         180      1.52      0.13      0.13      0.03
         181      1.52      0.13      0.13      0.03
         182      1.52      0.13      0.13      0.03
         183      1.52      0.13      0.13      0.03
         184      1.52      0.13      0.13      0.03
         185      1.52      0.13      0.13      0.03
         186      1.52      0.13      0.13      0.03
         187      1.52      0.13      0.13      0.03
         188      1.52      0.13      0.13      0.03
         189      1.52      0.13      0.13      0.03
         190      1.52      0.13      0.13      0.03
         191      1.52      0.13      0.13      0.03
         192      1.52      0.13      0.13      0.03
         193      1.52      0.13      0.13      0.03
         194      1.52      0.13      0.13      0.03
         195      1.52      0.13      0.13      0.03
         196      1.52      0.13      0.13      0.03
         197      1.52      0.13      0.13      0.03
         198      1.52      0.13      0.13      0.03
         199      1.52      0.13      0.13      0.03
