  #n         exact     trapezoid   error(diff)
 
   1  0.200000E+01 -0.324877E-12  0.200000E+01
   2  0.200000E+01  0.157080E+01  0.429204E+00
   3  0.200000E+01  0.181380E+01  0.186201E+00
   4  0.200000E+01  0.189612E+01  0.103881E+00
   5  0.200000E+01  0.193377E+01  0.662344E-01
   6  0.200000E+01  0.195410E+01  0.459028E-01
   7  0.200000E+01  0.196632E+01  0.336833E-01
   8  0.200000E+01  0.197423E+01  0.257684E-01
   9  0.200000E+01  0.197965E+01  0.203492E-01
  10  0.200000E+01  0.198352E+01  0.164765E-01
  11  0.200000E+01  0.198639E+01  0.136130E-01
  12  0.200000E+01  0.198856E+01  0.114362E-01
  13  0.200000E+01  0.199026E+01  0.974282E-02
  14  0.200000E+01  0.199160E+01  0.839957E-02
  15  0.200000E+01  0.199268E+01  0.731617E-02
  16  0.200000E+01  0.199357E+01  0.642966E-02
  17  0.200000E+01  0.199430E+01  0.569506E-02
  18  0.200000E+01  0.199492E+01  0.507954E-02
  19  0.200000E+01  0.199544E+01  0.455868E-02
  20  0.200000E+01  0.199589E+01  0.411403E-02
  21  0.200000E+01  0.199627E+01  0.373140E-02
  22  0.200000E+01  0.199660E+01  0.339978E-02
  23  0.200000E+01  0.199689E+01  0.311048E-02
  24  0.200000E+01  0.199714E+01  0.285660E-02
  25  0.200000E+01  0.199737E+01  0.263259E-02
  26  0.200000E+01  0.199757E+01  0.243393E-02
  27  0.200000E+01  0.199774E+01  0.225693E-02
  28  0.200000E+01  0.199790E+01  0.209857E-02
  29  0.200000E+01  0.199804E+01  0.195631E-02
  30  0.200000E+01  0.199817E+01  0.182804E-02
  31  0.200000E+01  0.199829E+01  0.171198E-02
  32  0.200000E+01  0.199839E+01  0.160664E-02
  33  0.200000E+01  0.199849E+01  0.151073E-02
  34  0.200000E+01  0.199858E+01  0.142316E-02
  35  0.200000E+01  0.199866E+01  0.134298E-02
  36  0.200000E+01  0.199873E+01  0.126940E-02
  37  0.200000E+01  0.199880E+01  0.120170E-02
  38  0.200000E+01  0.199886E+01  0.113928E-02
  39  0.200000E+01  0.199892E+01  0.108160E-02
  40  0.200000E+01  0.199897E+01  0.102819E-02
  41  0.200000E+01  0.199902E+01  0.978641E-03
  42  0.200000E+01  0.199907E+01  0.932589E-03
  43  0.200000E+01  0.199911E+01  0.889714E-03
  44  0.200000E+01  0.199915E+01  0.849728E-03
  45  0.200000E+01  0.199919E+01  0.812379E-03
  46  0.200000E+01  0.199922E+01  0.777439E-03
  47  0.200000E+01  0.199926E+01  0.744706E-03
  48  0.200000E+01  0.199929E+01  0.713998E-03
  49  0.200000E+01  0.199931E+01  0.685151E-03
  50  0.200000E+01  0.199934E+01  0.658017E-03
  51  0.200000E+01  0.199937E+01  0.632464E-03
  52  0.200000E+01  0.199939E+01  0.608371E-03
  53  0.200000E+01  0.199941E+01  0.585628E-03
  54  0.200000E+01  0.199944E+01  0.564138E-03
  55  0.200000E+01  0.199946E+01  0.543809E-03
  56  0.200000E+01  0.199948E+01  0.524560E-03
  57  0.200000E+01  0.199949E+01  0.506315E-03
  58  0.200000E+01  0.199951E+01  0.489006E-03
  59  0.200000E+01  0.199953E+01  0.472569E-03
  60  0.200000E+01  0.199954E+01  0.456947E-03
  61  0.200000E+01  0.199956E+01  0.442087E-03
  62  0.200000E+01  0.199957E+01  0.427941E-03
  63  0.200000E+01  0.199959E+01  0.414463E-03
  64  0.200000E+01  0.199960E+01  0.401611E-03
  65  0.200000E+01  0.199961E+01  0.389349E-03
  66  0.200000E+01  0.199962E+01  0.377639E-03
  67  0.200000E+01  0.199963E+01  0.366450E-03
  68  0.200000E+01  0.199964E+01  0.355751E-03
  69  0.200000E+01  0.199965E+01  0.345514E-03
  70  0.200000E+01  0.199966E+01  0.335712E-03
  71  0.200000E+01  0.199967E+01  0.326322E-03
  72  0.200000E+01  0.199968E+01  0.317320E-03
  73  0.200000E+01  0.199969E+01  0.308685E-03
  74  0.200000E+01  0.199970E+01  0.300399E-03
  75  0.200000E+01  0.199971E+01  0.292441E-03
  76  0.200000E+01  0.199972E+01  0.284796E-03
  77  0.200000E+01  0.199972E+01  0.277446E-03
  78  0.200000E+01  0.199973E+01  0.270378E-03
  79  0.200000E+01  0.199974E+01  0.263576E-03
  80  0.200000E+01  0.199974E+01  0.257028E-03
  81  0.200000E+01  0.199975E+01  0.250720E-03
  82  0.200000E+01  0.199976E+01  0.244642E-03
  83  0.200000E+01  0.199976E+01  0.238783E-03
  84  0.200000E+01  0.199977E+01  0.233131E-03
  85  0.200000E+01  0.199977E+01  0.227678E-03
  86  0.200000E+01  0.199978E+01  0.222414E-03
  87  0.200000E+01  0.199978E+01  0.217330E-03
  88  0.200000E+01  0.199979E+01  0.212419E-03
  89  0.200000E+01  0.199979E+01  0.207672E-03
  90  0.200000E+01  0.199980E+01  0.203082E-03
  91  0.200000E+01  0.199980E+01  0.198643E-03
  92  0.200000E+01  0.199981E+01  0.194349E-03
  93  0.200000E+01  0.199981E+01  0.190191E-03
  94  0.200000E+01  0.199981E+01  0.186166E-03
  95  0.200000E+01  0.199982E+01  0.182267E-03
  96  0.200000E+01  0.199982E+01  0.178490E-03
  97  0.200000E+01  0.199983E+01  0.174829E-03
  98  0.200000E+01  0.199983E+01  0.171279E-03
  99  0.200000E+01  0.199983E+01  0.167836E-03
 100  0.200000E+01  0.199984E+01  0.164496E-03
