  #n         exact     trapezoid   error(diff)
 
   1          2.00       9412.05      -9410.05
   2          2.00       5305.23      -5303.23
   3          2.00       4200.11      -4198.11
   4          2.00       3794.23      -3792.23
   5          2.00       3629.02      -3627.02
   6          2.00       3559.03      -3557.03
   7          2.00       3528.91      -3526.91
   8          2.00       3515.89      -3513.89
   9          2.00       3510.26      -3508.26
  10          2.00       3507.85      -3505.85
  11          2.00       3506.84      -3504.84
  12          2.00       3506.42      -3504.42
  13          2.00       3506.26      -3504.26
  14          2.00       3506.21      -3504.21
  15          2.00       3506.20      -3504.20
  16          2.00       3506.21      -3504.21
  17          2.00       3506.23      -3504.23
  18          2.00       3506.25      -3504.25
  19          2.00       3506.26      -3504.26
  20          2.00       3506.27      -3504.27
  21          2.00       3506.28      -3504.28
  22          2.00       3506.30      -3504.30
  23          2.00       3506.30      -3504.30
  24          2.00       3506.31      -3504.31
  25          2.00       3506.32      -3504.32
  26          2.00       3506.33      -3504.33
  27          2.00       3506.33      -3504.33
  28          2.00       3506.34      -3504.34
  29          2.00       3506.34      -3504.34
  30          2.00       3506.34      -3504.34
  31          2.00       3506.35      -3504.35
  32          2.00       3506.35      -3504.35
  33          2.00       3506.35      -3504.35
  34          2.00       3506.36      -3504.36
  35          2.00       3506.36      -3504.36
  36          2.00       3506.36      -3504.36
  37          2.00       3506.36      -3504.36
  38          2.00       3506.37      -3504.37
  39          2.00       3506.37      -3504.37
  40          2.00       3506.37      -3504.37
  41          2.00       3506.37      -3504.37
  42          2.00       3506.37      -3504.37
  43          2.00       3506.37      -3504.37
  44          2.00       3506.37      -3504.37
  45          2.00       3506.38      -3504.38
  46          2.00       3506.38      -3504.38
  47          2.00       3506.38      -3504.38
  48          2.00       3506.38      -3504.38
  49          2.00       3506.38      -3504.38
  50          2.00       3506.38      -3504.38
  51          2.00       3506.38      -3504.38
  52          2.00       3506.38      -3504.38
  53          2.00       3506.38      -3504.38
  54          2.00       3506.38      -3504.38
  55          2.00       3506.38      -3504.38
  56          2.00       3506.39      -3504.39
  57          2.00       3506.39      -3504.39
  58          2.00       3506.39      -3504.39
  59          2.00       3506.39      -3504.39
  60          2.00       3506.39      -3504.39
  61          2.00       3506.39      -3504.39
  62          2.00       3506.39      -3504.39
  63          2.00       3506.39      -3504.39
  64          2.00       3506.39      -3504.39
  65          2.00       3506.39      -3504.39
  66          2.00       3506.39      -3504.39
  67          2.00       3506.39      -3504.39
  68          2.00       3506.39      -3504.39
  69          2.00       3506.39      -3504.39
  70          2.00       3506.39      -3504.39
  71          2.00       3506.39      -3504.39
  72          2.00       3506.39      -3504.39
  73          2.00       3506.39      -3504.39
  74          2.00       3506.39      -3504.39
  75          2.00       3506.39      -3504.39
  76          2.00       3506.39      -3504.39
  77          2.00       3506.39      -3504.39
  78          2.00       3506.39      -3504.39
  79          2.00       3506.39      -3504.39
  80          2.00       3506.39      -3504.39
  81          2.00       3506.39      -3504.39
  82          2.00       3506.39      -3504.39
  83          2.00       3506.39      -3504.39
  84          2.00       3506.39      -3504.39
  85          2.00       3506.39      -3504.39
  86          2.00       3506.39      -3504.39
  87          2.00       3506.39      -3504.39
  88          2.00       3506.39      -3504.39
  89          2.00       3506.40      -3504.40
  90          2.00       3506.40      -3504.40
  91          2.00       3506.40      -3504.40
  92          2.00       3506.40      -3504.40
  93          2.00       3506.40      -3504.40
  94          2.00       3506.40      -3504.40
  95          2.00       3506.40      -3504.40
  96          2.00       3506.40      -3504.40
  97          2.00       3506.40      -3504.40
  98          2.00       3506.40      -3504.40
  99          2.00       3506.40      -3504.40
 100          2.00       3506.40      -3504.40
