 #N     h      T-rule     S-rule    G-Quad            eT            eS            eG
  5   0.7854  1.896119  2.004560  2.000000    0.519406E-01    0.227988E-02    0.119209E-06
  9   0.3927  1.974232  2.000269  1.999998    0.128842E-01    0.134587E-03    0.774860E-06
 13   0.2618  1.988564  2.000053  1.999997    0.571805E-02    0.263453E-04    0.143051E-05
 17   0.1963  1.993570  2.000017  1.999998    0.321490E-02    0.834465E-05    0.834465E-06
 21   0.1571  1.995886  2.000007  1.999999    0.205702E-02    0.333786E-05    0.357628E-06
 25   0.1309  1.997143  2.000003  2.000000    0.142843E-02    0.166893E-05    0.119209E-06
 29   0.1122  1.997902  2.000002  1.999999    0.104910E-02    0.834465E-06    0.357628E-06
 33   0.0982  1.998394  2.000001  2.000000    0.803232E-03    0.596046E-06    0.596046E-07
 37   0.0873  1.998731  2.000001  2.000000    0.634670E-03    0.357628E-06    0.596046E-07
 41   0.0785  1.998972  2.000000  2.000000    0.514030E-03    0.119209E-06    0.119209E-06
 45   0.0714  1.999151  2.000000  2.000000    0.424683E-03    0.119209E-06    0.178814E-06
 49   0.0654  1.999286  2.000000  2.000000    0.357032E-03    0.119209E-06    0.119209E-06
 53   0.0604  1.999392  2.000000  2.000000    0.304222E-03    0.119209E-06    0.238419E-06
 57   0.0561  1.999476  2.000000  2.000000    0.262201E-03    0.119209E-06    0.596046E-07
 61   0.0524  1.999543  2.000000  2.000000    0.228524E-03    0.238419E-06    0.000000E+00
 65   0.0491  1.999598  2.000000  2.000000    0.200868E-03    0.119209E-06    0.000000E+00
 69   0.0462  1.999644  2.000000  2.000000    0.177801E-03    0.119209E-06    0.000000E+00
 73   0.0436  1.999683  2.000000  2.000000    0.158608E-03    0.596046E-07    0.238419E-06
 77   0.0413  1.999715  2.000000  2.000000    0.142455E-03    0.000000E+00    0.119209E-06
 81   0.0393  1.999743  2.000000  2.000000    0.128508E-03    0.119209E-06    0.238419E-06
 85   0.0374  1.999767  2.000000  2.000000    0.116527E-03    0.596046E-07    0.119209E-06
 89   0.0357  1.999787  2.000000  1.999999    0.106275E-03    0.000000E+00    0.357628E-06
 93   0.0341  1.999806  2.000000  1.999999    0.972152E-04    0.238419E-06    0.417233E-06
 97   0.0327  1.999821  2.000000  1.999999    0.893474E-04    0.000000E+00    0.536442E-06
101   0.0314  1.999836  2.000000  2.000000    0.821948E-04    0.238419E-06    0.238419E-06
105   0.0302  1.999848  2.000000  2.000000    0.759363E-04    0.119209E-06    0.238419E-06
109   0.0291  1.999859  2.000000  1.999999    0.706315E-04    0.000000E+00    0.417233E-06
113   0.0280  1.999869  2.000000  1.999998    0.655651E-04    0.000000E+00    0.834465E-06
117   0.0271  1.999878  2.000000  1.999999    0.610948E-04    0.596046E-07    0.536442E-06
121   0.0262  1.999886  2.000000  1.999998    0.571012E-04    0.178814E-06    0.101328E-05
125   0.0253  1.999892  2.000000  1.999998    0.538230E-04    0.000000E+00    0.107288E-05
129   0.0245  1.999900  2.000000  1.999998    0.502467E-04    0.000000E+00    0.101328E-05
133   0.0238  1.999906  1.999999  1.999998    0.472069E-04    0.298023E-06    0.119209E-05
137   0.0231  1.999910  2.000000  1.999997    0.448823E-04    0.000000E+00    0.137091E-05
141   0.0224  1.999916  2.000000  1.999997    0.419021E-04    0.119209E-06    0.137091E-05
145   0.0218  1.999920  1.999999  1.999997    0.398159E-04    0.298023E-06    0.125170E-05
149   0.0212  1.999925  2.000000  1.999997    0.376105E-04    0.178814E-06    0.154972E-05
153   0.0207  1.999928  2.000000  1.999996    0.358820E-04    0.238419E-06    0.184774E-05
157   0.0201  1.999932  2.000000  1.999996    0.341535E-04    0.119209E-06    0.196695E-05
161   0.0196  1.999936  2.000000  1.999995    0.321865E-04    0.119209E-06    0.244379E-05
165   0.0192  1.999939  2.000000  1.999995    0.306964E-04    0.119209E-06    0.250340E-05
169   0.0187  1.999942  2.000000  1.999994    0.292063E-04    0.596046E-07    0.286102E-05
173   0.0183  1.999944  2.000000  1.999994    0.278354E-04    0.238419E-06    0.315905E-05
177   0.0178  1.999947  2.000000  1.999994    0.265837E-04    0.596046E-07    0.303984E-05
181   0.0175  1.999949  2.000000  1.999992    0.254512E-04    0.119209E-06    0.375509E-05
185   0.0171  1.999951  2.000000  1.999993    0.245571E-04    0.238419E-06    0.339746E-05
189   0.0167  1.999953  2.000000  1.999991    0.233054E-04    0.000000E+00    0.435114E-05
193   0.0164  1.999956  2.000000  1.999991    0.221133E-04    0.119209E-06    0.429153E-05
197   0.0160  1.999958  2.000000  1.999991    0.209212E-04    0.238419E-06    0.458956E-05
201   0.0157  1.999959  2.000000  1.999990    0.203848E-04    0.178814E-06    0.482798E-05
205   0.0154  1.999960  2.000000  1.999990    0.198483E-04    0.000000E+00    0.524521E-05
209   0.0151  1.999962  2.000000  1.999991    0.191331E-04    0.000000E+00    0.464916E-05
213   0.0148  1.999964  2.000000  1.999991    0.179410E-04    0.119209E-06    0.429153E-05
217   0.0145  1.999965  2.000000  1.999991    0.175834E-04    0.238419E-06    0.452995E-05
221   0.0143  1.999966  2.000001  1.999991    0.169873E-04    0.357628E-06    0.429153E-05
225   0.0140  1.999968  2.000000  1.999991    0.160933E-04    0.000000E+00    0.435114E-05
229   0.0138  1.999968  2.000000  1.999992    0.159740E-04    0.238419E-06    0.411272E-05
233   0.0135  1.999969  2.000001  1.999991    0.154376E-04    0.476837E-06    0.435114E-05
237   0.0133  1.999971  1.999999  1.999992    0.144839E-04    0.298023E-06    0.375509E-05
241   0.0131  1.999972  2.000000  1.999993    0.142455E-04    0.119209E-06    0.369549E-05
245   0.0129  1.999972  2.000001  1.999994    0.138879E-04    0.357628E-06    0.321865E-05
249   0.0127  1.999974  2.000000  1.999994    0.131726E-04    0.119209E-06    0.309944E-05
