    6    6.00      1793.       4.43      38.1       27. 0.0202    0.0054   13.02
    7    7.00      1440.       3.69      34.2      24.2 0.0459    0.0050   27.52
    8    8.00      1169.       2.97      29.4      20.8 0.0628    0.0044   30.93
    9    9.00       955.        2.4      24.7      17.5 0.0759    0.0044   32.06
   10   10.00       797.       2.13      23.3      16.5 0.0829    0.0046   31.12
   11   11.00       687.       1.93       22.      15.5 0.1032    0.0048   31.31
   12   12.00       596.       1.39      16.4      11.6 0.1141    0.0039   30.21
   13   13.00       524.       1.79      22.1      15.6 0.1243    0.0060   28.06
   14   14.00       469.       1.79      22.9      16.2 0.1376    0.0069   26.58
   15   15.00       428.       1.66      21.9      15.5 0.1513    0.0065   25.50
   16   16.00       383.       1.67      22.7      16.1 0.1471    0.0073   26.97
   17   17.00       352.       1.57       22.      15.6 0.1605    0.0075   24.22
   18   18.00       319.        1.5      21.7      15.3 0.1588    0.0078   26.03
   19   19.00       287.       1.41      20.8      14.7 0.1411    0.0081   21.48
   20   20.00       262.       1.28      19.5      13.8 0.1363    0.0077   19.71
   21   21.00       240.       1.11      17.3      12.2 0.1292    0.0072   14.50
   22   22.00       217.       1.22      19.6      13.9 0.1215    0.0089   14.89
   23   23.00       202.       1.06      17.4      12.3 0.1361    0.0082   13.57
   24   24.00       187.       1.16      19.3      13.6 0.1330    0.0094   10.56
   25   25.00       169.       1.03      17.6      12.4 0.1111    0.0085    5.65
   26   26.00       154.      0.929      16.3      11.5 0.1111    0.0084    2.87
   27   27.00       144.      0.968      17.3      12.2 0.1111    0.0087   -0.32
   28   28.00       132.      0.781      14.1       10. 0.1028    0.0080   -3.68
   29   29.00       122.      0.751      13.9      9.82 0.1094    0.0094   -1.46
   30   30.00       116.      0.696       13.      9.16 0.1260    0.0086   -4.47
   31   31.00       111.      0.806      15.3      10.8 0.1375    0.0084  -10.16
   32   32.00       101.      0.795      15.3      10.8 0.1217    0.0085  -12.49
   33   33.00       93.5      0.829      16.3      11.6 0.1217    0.0134  -12.49
   34   34.00       91.2      0.808       16.      11.3 0.1516    0.0127  -12.49
   35   35.00       86.9      0.802       16.      11.3 0.1516    0.0114  -19.84
   36   36.00       79.6       0.75      15.2      10.8 0.1516    0.0144  -19.84
   37   37.00       76.3      0.726      14.9      10.5 0.1516    0.0154  -19.84
   38   38.00       73.3      0.739      15.4      10.9 0.1516    0.0193  -19.84
   39   39.00       76.2      0.716      14.8      10.4 0.2131    0.0152  -19.84
   40   40.00       72.5      0.724       15.      10.6 0.2213    0.0147  -21.94
   41   41.00       71.6      0.802      16.8      11.9 0.2385    0.0137  -22.19
   42   42.00       69.1      0.725      15.4      10.9 0.2385    0.0130  -22.19
   43   43.00       66.2      0.753       16.      11.3 0.2385    0.0147  -23.41
   44   44.00       63.5      0.691      15.2      10.7 0.2318    0.0097  -25.14
   45   45.00       63.2      0.661      14.5      10.3 0.2499    0.0092  -24.04
   46   46.00       58.9       0.61      13.5      9.57 0.2499    0.0102  -24.04
   47   47.00        57.      0.672       15.      10.6 0.2625    0.0132  -23.97
   48   48.00       53.2       0.65      14.7      10.4 0.2625    0.0147  -23.30
   49   49.00       54.5      0.689      15.5       11. 0.2918    0.0126  -21.18
   50   50.00       51.5      0.692      15.9      11.2 0.2840    0.0187  -23.42
   51   51.00       50.2      0.677      15.7      11.1 0.2883    0.0153  -22.73
   52   52.00       47.3      0.706      16.4      11.6 0.2883    0.0150  -22.73
   53   53.00       48.3      0.668      15.6       11. 0.3092    0.0143  -22.73
   54   54.00       46.3      0.599      14.1      9.95 0.3146    0.0101  -22.73
   55   55.00       43.7       0.71      16.9      11.9 0.3146    0.0192  -22.73
   56   56.00       42.3      0.652      15.6       11. 0.3178    0.0145  -23.11
   57   57.00       39.5      0.673      16.3      11.5 0.3059    0.0223  -22.22
   58   58.00       40.5      0.668      16.1      11.4 0.3373    0.0218  -22.22
   59   59.00       37.9      0.672      16.5      11.7 0.3220    0.0204  -22.22
   60   60.00       38.3      0.694       17.       12. 0.3428    0.0162  -21.36
