# Version 2.0 - nm, norm@500 to 1, burrows+2006c91.21_T1350_g4.7_f100_solar
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.0 1.53345164121e-32
300.1 1.53345164121e-32
300.2 1.53345164121e-32
300.3 1.53345164121e-32
300.4 1.53345164121e-32
300.5 1.53345164121e-32
300.6 1.53345164121e-32
300.7 1.53345164121e-32
300.8 1.53345164121e-32
300.9 1.53345164121e-32
301.0 1.53345164121e-32
301.1 1.53345164121e-32
301.2 1.53345164121e-32
301.3 1.53345164121e-32
301.4 1.53345164121e-32
301.5 1.53345164121e-32
301.6 1.53345164121e-32
301.7 1.53345164121e-32
301.8 1.53345164121e-32
301.9 1.53345164121e-32
302.0 1.53345164121e-32
302.1 1.53345164121e-32
302.2 1.53345164121e-32
302.3 1.53345164121e-32
302.4 1.53345164121e-32
302.5 1.53345164121e-32
302.6 1.53345164121e-32
302.7 1.53345164121e-32
302.8 1.53345164121e-32
302.9 1.53345164121e-32
303.0 1.53345164121e-32
303.1 1.53345164121e-32
303.2 1.53345164121e-32
303.3 1.53345164121e-32
303.4 1.53345164121e-32
303.5 1.53345164121e-32
303.6 1.53345164121e-32
303.7 1.53345164121e-32
303.8 1.53345164121e-32
303.9 1.53345164121e-32
304.0 1.53345164121e-32
304.1 1.53345164121e-32
304.2 1.53345164121e-32
304.3 1.53345164121e-32
304.4 1.53345164121e-32
304.5 1.53345164121e-32
304.6 1.53345164121e-32
304.7 1.53345164121e-32
304.8 1.53345164121e-32
304.9 1.53345164121e-32
305.0 1.53345164121e-32
305.1 1.53345164121e-32
305.2 1.53345164121e-32
305.3 1.53345164121e-32
305.4 1.53345164121e-32
305.5 1.53345164121e-32
305.6 1.53345164121e-32
305.7 1.53345164121e-32
305.8 1.53345164121e-32
305.9 1.53345164121e-32
306.0 1.53345164121e-32
306.1 1.53345164121e-32
306.2 1.53345164121e-32
306.3 1.53345164121e-32
306.4 1.53345164121e-32
306.5 1.53345164121e-32
306.6 1.53345164121e-32
306.7 1.53345164121e-32
306.8 1.53345164121e-32
306.9 1.53345164121e-32
307.0 1.53345164121e-32
307.1 1.53345164121e-32
307.2 1.53345164121e-32
307.3 1.53345164121e-32
307.4 1.53345164121e-32
307.5 1.53345164121e-32
307.6 1.53345164121e-32
307.7 1.53345164121e-32
307.8 1.53345164121e-32
307.9 1.53345164121e-32
308.0 1.53345164121e-32
308.1 1.53345164121e-32
308.2 1.53345164121e-32
308.3 1.53345164121e-32
308.4 1.53345164121e-32
308.5 1.53345164121e-32
308.6 1.53345164121e-32
308.7 1.53345164121e-32
308.8 1.53345164121e-32
308.9 1.53345164121e-32
309.0 1.53345164121e-32
309.1 1.53345164121e-32
309.2 1.53345164121e-32
309.3 1.53345164121e-32
309.4 1.53345164121e-32
309.5 1.53345164121e-32
309.6 1.53345164121e-32
309.7 1.53345164121e-32
309.8 1.53345164121e-32
309.9 1.53345164121e-32
310.0 1.53345164121e-32
310.1 1.53345164121e-32
310.2 1.53345164121e-32
310.3 1.53345164121e-32
310.4 1.53345164121e-32
310.5 1.53345164121e-32
310.6 1.53345164121e-32
310.7 1.53345164121e-32
310.8 1.53345164121e-32
310.9 1.53345164121e-32
311.0 1.53345164121e-32
311.1 1.53345164121e-32
311.2 1.53345164121e-32
311.3 1.53345164121e-32
311.4 1.53345164121e-32
311.5 1.53345164121e-32
311.6 1.53345164121e-32
311.7 1.53345164121e-32
311.8 1.53345164121e-32
311.9 1.53345164121e-32
312.0 1.53345164121e-32
312.1 1.53345164121e-32
312.2 1.53345164121e-32
312.3 1.53345164121e-32
312.4 1.53345164121e-32
312.5 1.53345164121e-32
312.6 1.53345164121e-32
312.7 1.53345164121e-32
312.8 1.53345164121e-32
312.9 1.53345164121e-32
313.0 1.53345164121e-32
313.1 1.53345164121e-32
313.2 1.53345164121e-32
313.3 1.53345164121e-32
313.4 1.53345164121e-32
313.5 1.53345164121e-32
313.6 1.53345164121e-32
313.7 1.53345164121e-32
313.8 1.53345164121e-32
313.9 1.53345164121e-32
314.0 1.53345164121e-32
314.1 1.53345164121e-32
314.2 1.53345164121e-32
314.3 1.53345164121e-32
314.4 1.53345164121e-32
314.5 1.53345164121e-32
314.6 1.53345164121e-32
314.7 1.53345164121e-32
314.8 1.53345164121e-32
314.9 1.53345164121e-32
315.0 1.53345164121e-32
315.1 1.53345164121e-32
315.2 1.53345164121e-32
315.3 1.53345164121e-32
315.4 1.53345164121e-32
315.5 1.53345164121e-32
315.6 1.53345164121e-32
315.7 1.53345164121e-32
315.8 1.53345164121e-32
315.9 1.53345164121e-32
316.0 1.53345164121e-32
316.1 1.53345164121e-32
316.2 1.53345164121e-32
316.3 1.53345164121e-32
316.4 1.53345164121e-32
316.5 1.53345164121e-32
316.6 1.53345164121e-32
316.7 1.53345164121e-32
316.8 1.53345164121e-32
316.9 1.53345164121e-32
317.0 1.53345164121e-32
317.1 1.53345164121e-32
317.2 1.53345164121e-32
317.3 1.53345164121e-32
317.4 1.53345164121e-32
317.5 1.53345164121e-32
317.6 1.53345164121e-32
317.7 1.53345164121e-32
317.8 1.53345164121e-32
317.9 1.53345164121e-32
318.0 1.53345164121e-32
318.1 1.53345164121e-32
318.2 1.53345164121e-32
318.3 1.53345164121e-32
318.4 1.53345164121e-32
318.5 1.53345164121e-32
318.6 1.53345164121e-32
318.7 1.53345164121e-32
318.8 1.53345164121e-32
318.9 1.53345164121e-32
319.0 1.53345164121e-32
319.1 1.53345164121e-32
319.2 1.53345164121e-32
319.3 1.53345164121e-32
319.4 1.53345164121e-32
319.5 1.53345164121e-32
319.6 1.53345164121e-32
319.7 1.53345164121e-32
319.8 1.53345164121e-32
319.9 1.53345164121e-32
320.0 1.53345164121e-32
