 #                Euler method to solve the differential equation
 #              step size h =  0.05
 #                         
 #           x                        y               exact               error
 #                         
            0.000000            0.000000            0.000000            0.000000
           -0.050000           -0.100000           -0.095163            0.050833
           -0.100000           -0.190000           -0.181269            0.048165
           -0.150000           -0.271000           -0.259182            0.045598
           -0.200000           -0.343900           -0.329680            0.043133
           -0.250000           -0.409510           -0.393469            0.040767
           -0.300000           -0.468559           -0.451188            0.038500
           -0.350000           -0.521703           -0.503415            0.036329
           -0.400000           -0.569533           -0.550671            0.034252
           -0.450000           -0.612580           -0.593430            0.032269
           -0.500000           -0.651322           -0.632121            0.030376
           -0.550000           -0.686189           -0.667129            0.028571
           -0.600000           -0.717570           -0.698806            0.026852
           -0.650000           -0.745813           -0.727468            0.025218
           -0.700000           -0.771232           -0.753403            0.023665
           -0.750000           -0.794109           -0.776870            0.022190
           -0.800000           -0.814698           -0.798103            0.020792
           -0.850000           -0.833228           -0.817316            0.019468
           -0.900000           -0.849905           -0.834701            0.018215
           -0.950000           -0.864915           -0.850431            0.017031
           -1.000000           -0.878423           -0.864665            0.015912
           -1.050000           -0.890581           -0.877544            0.014857
           -1.100000           -0.901523           -0.889197            0.013862
           -1.150000           -0.911371           -0.899741            0.012925
           -1.200000           -0.920234           -0.909282            0.012044
           -1.250000           -0.928210           -0.917915            0.011216
           -1.300000           -0.935389           -0.925726            0.010438
           -1.350000           -0.941850           -0.932794            0.009708
           -1.400000           -0.947665           -0.939190            0.009024
           -1.450000           -0.952899           -0.944977            0.008383
           -1.500000           -0.957609           -0.950213            0.007783
           -1.550000           -0.961848           -0.954951            0.007223
           -1.600000           -0.965663           -0.959238            0.006698
           -1.650000           -0.969097           -0.963117            0.006209
           -1.700000           -0.972187           -0.966627            0.005752
           -1.750000           -0.974968           -0.969803            0.005327
           -1.800000           -0.977472           -0.972676            0.004930
           -1.850000           -0.979724           -0.975276            0.004561
           -1.900000           -0.981752           -0.977629            0.004217
           -1.950000           -0.983577           -0.979758            0.003898
           -2.000000           -0.985219           -0.981684            0.003601
            0.000000            0.000000            0.000000            0.003601
            0.050000            0.100000            0.105171            0.049167
            0.100000            0.210000            0.221403            0.051502
            0.150000            0.331000            0.349859            0.053904
            0.200000            0.464100            0.491825            0.056371
            0.250000            0.610510            0.648721            0.058902
            0.300000            0.771561            0.822119            0.061497
            0.350000            0.948717            1.013753            0.064153
            0.400000            1.143589            1.225541            0.066870
            0.450000            1.357948            1.459603            0.069646
            0.500000            1.593742            1.718282            0.072479
            0.550000            1.853117            2.004166            0.075368
            0.600000            2.138428            2.320117            0.078310
            0.650000            2.452271            2.669297            0.081304
            0.700000            2.797498            3.055200            0.084349
            0.750000            3.177248            3.481689            0.087441
            0.800000            3.594973            3.953032            0.090578
            0.850000            4.054470            4.473947            0.093760
            0.900000            4.559917            5.049647            0.096983
            0.950000            5.115909            5.685894            0.100246
            1.000000            5.727500            6.389056            0.103545
            1.050000            6.400250            7.166170            0.106880
            1.100000            7.140275            8.025013            0.110248
            1.150000            7.954302            8.974182            0.113646
            1.200000            8.849733           10.023176            0.117073
            1.250000            9.834706           11.182494            0.120527
            1.300000           10.918177           12.463738            0.124005
            1.350000           12.109994           13.879732            0.127505
            1.400000           13.420994           15.444647            0.131026
            1.450000           14.863093           17.174145            0.134566
            1.500000           16.449402           19.085537            0.138122
            1.550000           18.194342           21.197951            0.141693
            1.600000           20.113777           23.532530            0.145278
            1.650000           22.225154           26.112639            0.148874
            1.700000           24.547670           28.964100            0.152479
            1.750000           27.102437           32.115452            0.156094
            1.800000           29.912681           35.598234            0.159714
            1.850000           33.003949           39.447304            0.163341
            1.900000           36.404343           43.701184            0.166971
            1.950000           40.144778           48.402449            0.170604
            2.000000           44.259256           53.598150            0.174239
